,Time,Realize,Unrealize,Gain/Loss,Cash,Total
2017/08/20 13:00:00,1503205200000,0,0.0,0,10000,10000.0
2017/08/20 14:00:00,1503208800000,0,0.0,0,10000,10000.0
2017/08/20 15:00:00,1503212400000,0,0.0,0,10000,10000.0
2017/08/20 16:00:00,1503216000000,0,0.0,0,10000,10000.0
2017/08/20 17:00:00,1503219600000,0,0.0,0,10000,10000.0
2017/08/20 18:00:00,1503223200000,0,0.0,0,10000,10000.0
2017/08/20 19:00:00,1503226800000,0,0.0,0,10000,10000.0
2017/08/20 20:00:00,1503230400000,0,0.0,0,10000,10000.0
2017/08/20 21:00:00,1503234000000,0,0.0,0,10000,10000.0
2017/08/20 22:00:00,1503237600000,0,0.0,0,10000,10000.0
2017/08/20 23:00:00,1503241200000,0,0.0,0,10000,10000.0
2017/08/21 00:00:00,1503244800000,0,0.0,0,10000,10000.0
2017/08/21 01:00:00,1503248400000,0,0.0,0,10000,10000.0
2017/08/21 02:00:00,1503252000000,0,0.0,0,10000,10000.0
2017/08/21 03:00:00,1503255600000,0,0.0,0,10000,10000.0
2017/08/21 04:00:00,1503259200000,0,1000.2909321324038,0,9000.0,10000.290932132404
2017/08/21 05:00:00,1503262800000,0,995.321564016406,0,9000.0,9995.321564016405
2017/08/21 06:00:00,1503266400000,0,1000.5314630189478,0,9000.0,10000.531463018948
2017/08/21 07:00:00,1503270000000,0,997.7773843680197,0,9000.0,9997.777384368019
2017/08/21 08:00:00,1503273600000,0,978.0514463625509,0,9000.0,9978.051446362551
2017/08/21 09:00:00,1503277200000,0,987.4682305707462,0,9000.0,9987.468230570747
2017/08/21 10:00:00,1503280800000,0,984.1777680428252,0,9000.0,9984.177768042826
2017/08/21 11:00:00,1503284400000,0,980.6515852460909,0,9000.0,9980.65158524609
2017/08/21 12:00:00,1503288000000,0,980.4880242432412,0,9000.0,9980.488024243241
2017/08/21 13:00:00,1503291600000,0,986.6023193791881,0,9000.0,9986.602319379188
2017/08/21 14:00:00,1503295200000,0,964.0790071632133,0,9000.0,9964.079007163213
2017/08/21 15:00:00,1503298800000,0,957.3248998690594,0,9000.0,9957.32489986906
2017/08/21 16:00:00,1503302400000,0,971.9179087556804,0,9000.0,9971.91790875568
2017/08/21 17:00:00,1503306000000,0,970.1548173573134,0,9000.0,9970.154817357314
2017/08/21 18:00:00,1503309600000,0,977.2985846876684,0,9000.0,9977.298584687669
2017/08/21 19:00:00,1503313200000,0,976.5769920280366,0,9000.0,9976.576992028036
2017/08/21 20:00:00,1503316800000,0,966.9822149637987,0,9000.0,9966.982214963798
2017/08/21 21:00:00,1503320400000,0,961.4235461757681,0,9000.0,9961.423546175769
2017/08/21 22:00:00,1503324000000,940.8798031560502,0.0,-59.120196843949785,9000.0,9940.879803156051
2017/08/21 23:00:00,1503327600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 00:00:00,1503331200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 01:00:00,1503334800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 02:00:00,1503338400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 03:00:00,1503342000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 04:00:00,1503345600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 05:00:00,1503349200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 06:00:00,1503352800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 07:00:00,1503356400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 08:00:00,1503360000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 09:00:00,1503363600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 10:00:00,1503367200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 11:00:00,1503370800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 12:00:00,1503374400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 13:00:00,1503378000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 14:00:00,1503381600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 15:00:00,1503385200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 16:00:00,1503388800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 17:00:00,1503392400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 18:00:00,1503396000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 19:00:00,1503399600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 20:00:00,1503403200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 21:00:00,1503406800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 22:00:00,1503410400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/22 23:00:00,1503414000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 00:00:00,1503417600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 01:00:00,1503421200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 02:00:00,1503424800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 03:00:00,1503428400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 04:00:00,1503432000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 05:00:00,1503435600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 06:00:00,1503439200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 07:00:00,1503442800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 08:00:00,1503446400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 09:00:00,1503450000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 10:00:00,1503453600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 11:00:00,1503457200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 12:00:00,1503460800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 13:00:00,1503464400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 14:00:00,1503468000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 15:00:00,1503471600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 16:00:00,1503475200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 17:00:00,1503478800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 18:00:00,1503482400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 19:00:00,1503486000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 20:00:00,1503489600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 21:00:00,1503493200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 22:00:00,1503496800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/23 23:00:00,1503500400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 00:00:00,1503504000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 01:00:00,1503507600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 02:00:00,1503511200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 03:00:00,1503514800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 04:00:00,1503518400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 05:00:00,1503522000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 06:00:00,1503525600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 07:00:00,1503529200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 08:00:00,1503532800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 09:00:00,1503536400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 10:00:00,1503540000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 11:00:00,1503543600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 12:00:00,1503547200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 13:00:00,1503550800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 14:00:00,1503554400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 15:00:00,1503558000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 16:00:00,1503561600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 17:00:00,1503565200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 18:00:00,1503568800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 19:00:00,1503572400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 20:00:00,1503576000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 21:00:00,1503579600000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 22:00:00,1503583200000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/24 23:00:00,1503586800000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/25 00:00:00,1503590400000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/25 01:00:00,1503594000000,0,0.0,0,9940.879803156051,9940.879803156051
2017/08/25 02:00:00,1503597600000,0,999.9965372670806,0,8940.879803156051,9940.876340423132
2017/08/25 03:00:00,1503601200000,0,2854.4121850326455,0,7074.697743619661,9929.109928652306
2017/08/25 04:00:00,1503604800000,0,3616.7977500131697,0,6302.997829495485,9919.795579508655
2017/08/25 05:00:00,1503608400000,0,5604.375428285521,0,4302.997829495485,9907.373257781006
2017/08/25 06:00:00,1503612000000,0,6617.080660670309,0,3302.9978294954853,9920.078490165793
2017/08/25 07:00:00,1503615600000,0,7530.389305143054,0,2302.9978294954853,9833.387134638539
2017/08/25 08:00:00,1503619200000,0,7536.741433197894,0,2302.9978294954853,9839.73926269338
2017/08/25 09:00:00,1503622800000,0,7536.690331272396,0,2302.9978294954853,9839.68816076788
2017/08/25 10:00:00,1503626400000,0,7581.400030530485,0,2302.9978294954853,9884.39786002597
2017/08/25 11:00:00,1503630000000,0,8257.96355536617,0,1607.2753819156756,9865.238937281845
2017/08/25 12:00:00,1503633600000,0,8762.06370530643,0,1121.726699099021,9883.79040440545
2017/08/25 13:00:00,1503637200000,0,8814.1873917668,0,1121.726699099021,9935.914090865821
2017/08/25 14:00:00,1503640800000,0,8819.015004830884,0,1121.726699099021,9940.741703929905
2017/08/25 15:00:00,1503644400000,0,8799.392639318114,0,1121.726699099021,9921.119338417135
2017/08/25 16:00:00,1503648000000,0,8785.95044100113,0,1121.726699099021,9907.677140100152
2017/08/25 17:00:00,1503651600000,0,8790.659558542677,0,1121.726699099021,9912.386257641698
2017/08/25 18:00:00,1503655200000,0,8759.101434088727,0,1121.726699099021,9880.828133187748
2017/08/25 19:00:00,1503658800000,0,8783.522397466057,0,1121.726699099021,9905.249096565078
2017/08/25 20:00:00,1503662400000,0,8739.887546982322,0,1121.726699099021,9861.614246081343
2017/08/25 21:00:00,1503666000000,0,8815.077224708873,0,1121.726699099021,9936.803923807895
2017/08/25 22:00:00,1503669600000,0,8819.262394843616,0,1121.726699099021,9940.989093942637
2017/08/25 23:00:00,1503673200000,0,8799.971015549203,0,1121.726699099021,9921.697714648224
2017/08/26 00:00:00,1503676800000,0,8751.528470520405,0,1121.726699099021,9873.255169619426
2017/08/26 01:00:00,1503680400000,944.6414592973559,7796.332534179064,-55.358540702644106,1121.726699099021,9862.700692575441
2017/08/26 02:00:00,1503684000000,0,7775.367416282715,0,2066.368158396377,9841.735574679093
2017/08/26 03:00:00,1503687600000,0,7778.108953292363,0,2066.368158396377,9844.47711168874
2017/08/26 04:00:00,1503691200000,0,7809.561643550296,0,2066.368158396377,9875.929801946673
2017/08/26 05:00:00,1503694800000,0,7821.649717221458,0,2066.368158396377,9888.017875617836
2017/08/26 06:00:00,1503698400000,0,7838.026853960058,0,2066.368158396377,9904.395012356435
2017/08/26 07:00:00,1503702000000,0,7824.464836867819,0,2066.368158396377,9890.832995264196
2017/08/26 08:00:00,1503705600000,0,7821.321951435291,0,2066.368158396377,9887.690109831668
2017/08/26 09:00:00,1503709200000,0,7842.250161716919,0,2066.368158396377,9908.618320113295
2017/08/26 10:00:00,1503712800000,0,7797.213302528883,0,2066.368158396377,9863.58146092526
2017/08/26 11:00:00,1503716400000,0,7827.397895687375,0,2066.368158396377,9893.766054083753
2017/08/26 12:00:00,1503720000000,0,7779.968255470218,0,2066.368158396377,9846.336413866595
2017/08/26 13:00:00,1503723600000,0,7780.737259373712,0,2066.368158396377,9847.10541777009
2017/08/26 14:00:00,1503727200000,0,7786.606281121583,0,2066.368158396377,9852.97443951796
2017/08/26 15:00:00,1503730800000,0,7793.204395713269,0,2066.368158396377,9859.572554109647
2017/08/26 16:00:00,1503734400000,0,8575.856906419656,0,1286.8414181978874,9862.698324617544
2017/08/26 17:00:00,1503738000000,0,8588.09229484103,0,1286.8414181978874,9874.933713038918
2017/08/26 18:00:00,1503741600000,0,8593.634167295095,0,1286.8414181978874,9880.475585492983
2017/08/26 19:00:00,1503745200000,0,8983.914427856622,0,898.0939996595744,9882.008427516197
2017/08/26 20:00:00,1503748800000,0,8985.126028131657,0,898.0939996595744,9883.22002779123
2017/08/26 21:00:00,1503752400000,0,8996.69935162297,0,898.0939996595744,9894.793351282544
2017/08/26 22:00:00,1503756000000,0,9023.855436925633,0,898.0939996595744,9921.949436585208
2017/08/26 23:00:00,1503759600000,0,9018.62794811115,0,898.0939996595744,9916.721947770726
2017/08/27 00:00:00,1503763200000,0,8989.582835751382,0,898.0939996595744,9887.676835410955
2017/08/27 01:00:00,1503766800000,0,9014.696616868485,0,898.0939996595744,9912.790616528058
2017/08/27 02:00:00,1503770400000,0,9007.464999903521,0,898.0939996595744,9905.558999563094
2017/08/27 03:00:00,1503774000000,0,9006.671041944359,0,898.0939996595744,9904.765041603932
2017/08/27 04:00:00,1503777600000,0,9004.740849351085,0,898.0939996595744,9902.834849010658
2017/08/27 05:00:00,1503781200000,0,8955.099572809086,0,898.0939996595744,9853.19357246866
2017/08/27 06:00:00,1503784800000,0,8969.501059229435,0,898.0939996595744,9867.595058889008
2017/08/27 07:00:00,1503788400000,0,9007.772368322541,0,898.0939996595744,9905.866367982115
2017/08/27 08:00:00,1503792000000,0,8970.754522061112,0,898.0939996595744,9868.848521720687
2017/08/27 09:00:00,1503795600000,0,8977.142253748008,0,898.0939996595744,9875.236253407584
2017/08/27 10:00:00,1503799200000,0,8945.121452940342,0,898.0939996595744,9843.215452599918
2017/08/27 11:00:00,1503802800000,0,8942.628148059002,0,898.0939996595744,9840.722147718578
2017/08/27 12:00:00,1503806400000,0,8985.715560930956,0,898.0939996595744,9883.80956059053
2017/08/27 13:00:00,1503810000000,0,9002.673677180985,0,898.0939996595744,9900.767676840558
2017/08/27 14:00:00,1503813600000,0,8987.928216854616,0,898.0939996595744,9886.02221651419
2017/08/27 15:00:00,1503817200000,0,8983.606825154324,0,898.0939996595744,9881.700824813899
2017/08/27 16:00:00,1503820800000,0,8974.86121828689,0,898.0939996595744,9872.955217946463
2017/08/27 17:00:00,1503824400000,0,8976.720807768932,0,898.0939996595744,9874.814807428505
2017/08/27 18:00:00,1503828000000,0,8987.078005389463,0,898.0939996595744,9885.172005049037
2017/08/27 19:00:00,1503831600000,0,9006.046026311637,0,898.0939996595744,9904.14002597121
2017/08/27 20:00:00,1503835200000,0,8974.007161814425,0,898.0939996595744,9872.101161473998
2017/08/27 21:00:00,1503838800000,0,8992.907985218208,0,898.0939996595744,9891.001984877781
2017/08/27 22:00:00,1503842400000,0,8994.261210458124,0,898.0939996595744,9892.355210117697
2017/08/27 23:00:00,1503846000000,0,8996.517570873873,0,898.0939996595744,9894.611570533449
2017/08/28 00:00:00,1503849600000,0,9020.066537919274,0,898.0939996595744,9918.16053757885
2017/08/28 01:00:00,1503853200000,0,8987.632530812578,0,898.0939996595744,9885.726530472151
2017/08/28 02:00:00,1503856800000,0,8982.27877639041,0,898.0939996595744,9880.372776049986
2017/08/28 03:00:00,1503860400000,0,8982.991994497368,0,898.0939996595744,9881.085994156943
2017/08/28 04:00:00,1503864000000,0,9017.076833269666,0,898.0939996595744,9915.170832929241
2017/08/28 05:00:00,1503867600000,0,8971.105866359592,0,898.0939996595744,9869.199866019168
