,Constract,O_Time,O_price,C_Time,C_price,Proportion,Cost,Volume,Stop loss,Lock in gain,Fee,Profit,Cash
0,BTCUSDT,1503255600000.0,4154.56,1503324000000.0,3914.59,-0.75_0.3021,1000.0,0,3946.8320000000003,4570.0160000000005,1.3595675595008858,-59.120196843949785,8999.3
1,ETHUSDT,1503594000000.0,322.0,1503986400000.0,355.0,-0.5_0.2116,1000.0,0,305.9,354.20000000000005,1.4717391304347824,101.01273291925465,8940.17980315605
2,BTCUSDT,1503597600000.0,4188.18,1503680400000.0,4414.01,1.0_0.3772,-1000.0,0,4397.589000000001,3769.3620000000005,1.4377445573017396,-55.358540702644106,7940.179803156051
3,ETHUSDT,1503597600000.0,322.45,1503986400000.0,355.0,-0.25_0.1091,866.1820595363897,0,306.3275,354.695,1.2738611423881192,86.16365176786007,7074.091416177986
4,ETHUSDT,1503601200000.0,322.76,1503990000000.0,355.79,-0.25_0.1091,771.699914124176,0,306.62199999999996,355.036,1.1356608120903202,77.83709964001517,6302.457639555599
5,BTCUSDT,1503604800000.0,4216.1,1504015200000.0,4581.61,1.0_0.3772,-1000.0,0,4426.905000000001,3794.4900000000002,1.460685704798273,-88.15454970233135,5302.2978294954855
6,ETHUSDT,1503604800000.0,321.23,1503986400000.0,355.0,-0.5_0.2116,1000.0,0,305.1685,353.35300000000007,1.4735890172150794,103.6535784328985,4302.2978294954855
7,BTCUSDT,1503608400000.0,4208.1,1504015200000.0,4581.61,1.0_0.3772,-1000.0,0,4418.505000000001,3787.2900000000004,1.4621318409733606,-90.22190466006008,3302.2978294954855
8,BTCUSDT,1503612000000.0,4207.0,1504015200000.0,4581.61,1.0_0.3772,-1000.0,0,4417.35,3786.3,1.4623311148086522,-90.50678084145466,2302.2978294954855
9,ETHUSDT,1503626400000.0,328.81,1503878400000.0,348.11,0.75_0.3021,-695.7224475798099,0,345.25050000000005,295.92900000000003,1.002596963142871,-41.83907772191025,1606.7883762023696
10,ETHUSDT,1503630000000.0,328.19,1503878400000.0,348.11,0.75_0.3021,-485.5486828166546,0,344.59950000000003,295.371,0.7003979461050991,-30.17152674865177,1121.3868150210494
11,ETHUSDT,1503730800000.0,326.19,1503878400000.0,348.11,1.0_0.3772,-779.5267401984897,0,342.4995,293.571,1.128006427668197,-53.512279842398584,1286.2957494797483
12,BTCUSDT,1503741600000.0,4289.12,1504015200000.0,4581.61,0.75_0.3021,-388.747418538313,0,4503.576,3860.208,0.5628034122699431,-27.07284100699127,897.8218764665976
13,ETHUSDT,1503939600000.0,343.2,1504000800000.0,362.0,1.0_0.3772,-1000.0,0,360.36,308.88,1.4383449883449884,-56.21689976689972,1732.668985941568
